"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Grand Valley Speedway",,,"Worksheet",""
"Vehicle","IMPREZA Sedan WRX STi spec C (Type-II) '04",,,"Vehicle Desc",""
"Driver","L. TANG",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","2023-03-30",,,"Origin Time","0.000","s"
"Log Time","5:26:02 PM",,,"Start Time","0.000","s"
"Sample Rate","1.000","Hz",,"End Time","304.233","s"
"Duration","304.233","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","5850","m"
"Beacon Markers","45.596 300.684 "


"Time","Distance","Vehicle Speed","G Force Long","G Force Lat","G Force Vert","Throttle Pos","Brake Press","Gear","Engine RPM","Wheel Speed FL","Wheel Speed FR","Wheel Speed RL","Wheel Speed RR","Steered Angle"
"s","m","km/h","G","G","G","%","bar","","rpm","km/h","km/h","km/h","km/h","deg"


"0.000","0","30.3","-0.01","53.76","-0.01","100.0","3.74","1","2016","33.0","33.0","33.1","33.1","2.1"
"1.000","14","57.5","0.71","0.10","0.01","100.0","0.00","1","7199","60.8","60.8","61.8","61.8","10.1"
"2.000","33","72.9","0.57","0.20","0.00","99.9","0.00","2","5924","76.5","76.3","78.2","78.2","11.1"
"3.000","56","87.5","0.45","0.27","0.00","9.6","0.00","2","7068","89.1","89.0","90.8","90.8","11.5"
"4.000","79","82.7","0.05","0.03","-0.02","99.9","0.00","1","8109","82.9","82.9","83.1","83.1","3.0"
"5.000","102","81.2","-0.02","0.12","-0.01","99.9","0.00","1","8107","81.3","81.3","81.3","81.3","5.8"
"6.000","125","80.1","-0.02","0.04","0.00","99.9","0.00","1","8168","80.1","80.1","80.1","80.1","1.1"
"7.000","147","79.3","-0.02","0.03","0.00","99.9","0.00","1","8167","79.3","79.3","79.3","79.3","1.1"
"8.000","169","78.4","-0.02","0.04","0.04","99.9","0.00","1","8162","78.5","78.5","78.5","78.5","1.1"
"9.000","190","77.1","-0.02","0.03","0.03","99.9","0.00","1","8164","77.1","77.1","77.1","77.1","0.1"
"10.000","211","75.3","-0.01","-0.03","0.02","99.9","0.00","1","8162","75.4","75.4","75.3","75.3","-2.1"
"11.000","232","73.4","-0.01","-0.02","0.00","99.9","0.00","1","8161","73.5","73.5","73.5","73.5","-6.2"
"12.000","252","69.7","-0.09","-0.04","0.01","90.8","0.00","1","8418","70.1","69.9","70.2","70.2","-7.3"
"13.000","272","69.1","0.31","-0.08","0.01","90.4","0.00","1","8037","70.9","71.8","69.9","69.9","-10.0"
"14.000","291","69.8","-0.12","-0.07","0.00","91.2","0.00","1","8372","70.1","69.8","71.1","71.1","-10.6"
"15.000","311","69.4","0.06","-0.12","0.02","91.3","0.00","1","8162","70.9","70.4","69.6","69.6","-14.0"
"16.000","330","69.5","-0.13","-0.15","0.02","90.8","0.00","1","8269","71.1","71.9","71.9","71.9","-15.3"
