"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Grand Valley Speedway",,,"Worksheet",""
"Vehicle","IMPREZA Sedan WRX STi spec C (Type-II) '04",,,"Vehicle Desc",""
"Driver","L. TANG",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","2023-04-04",,,"Origin Time","0.000","s"
"Log Time","1:16:25 PM",,,"Start Time","0.000","s"
"Sample Rate","1.000","Hz",,"End Time","194.983","s"
"Duration","194.983","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","6108","m"
"Beacon Markers","24.324 190.167 "


"Time","Distance","Vehicle Speed","G Force Long","G Force Lat","G Force Vert","Throttle Pos","Brake Press","Gear","Engine RPM","Wheel Speed FL","Wheel Speed FR","Wheel Speed RL","Wheel Speed RR","Steered Angle"
"s","m","km/h","G","G","G","%","bar","","rpm","km/h","km/h","km/h","km/h","deg"


"0.000","0","30.3","-0.01","53.76","-0.01","100.0","3.74","1","2016","33.0","33.0","33.1","33.1","2.1"
"1.000","14","57.5","0.71","0.10","0.01","100.0","0.00","1","7199","61.0","61.0","62.3","62.3","10.1"
"2.000","33","72.9","0.57","0.20","0.00","99.9","0.00","2","5924","76.5","76.4","77.9","77.9","11.0"
"3.000","56","87.7","0.45","0.28","0.00","99.9","0.00","2","7069","91.1","91.1","92.9","92.9","11.6"
"4.000","83","99.4","0.36","0.01","-0.04","99.9","0.00","2","7959","102.5","102.6","104.4","104.4","0.8"
"5.000","112","106.0","-0.13","0.26","-0.03","99.9","0.00","2","8176","108.5","107.6","107.5","107.5","7.1"
"6.000","143","113.1","0.34","0.12","-0.02","99.9","0.00","3","6703","116.4","116.4","118.5","118.5","2.5"
"7.000","177","123.2","0.30","-0.03","0.14","99.9","0.00","3","7253","126.0","126.0","128.2","128.2","1.2"
"8.000","213","131.1","0.27","-0.12","0.03","99.9","0.00","3","7714","134.1","134.1","136.2","136.2","-0.3"
"9.000","251","137.2","0.23","-0.75","-0.01","99.9","0.00","3","8066","140.3","140.3","142.4","142.4","-8.0"
"10.000","291","142.8","0.20","-0.42","0.05","99.9","0.00","3","8354","145.4","145.4","147.5","147.5","-18.0"
"11.000","332","142.5","-0.21","-1.32","0.04","99.9","0.00","3","8066","144.0","142.7","143.7","143.6","-38.2"
"12.000","372","144.9","0.16","-1.16","0.00","99.9","0.00","3","8494","147.2","147.2","149.7","149.7","-34.4"
"13.000","412","145.2","0.18","-0.32","0.04","99.9","0.00","3","8466","147.6","147.6","149.6","149.5","-5.8"
"14.000","453","144.0","0.20","-0.43","-0.10","99.9","0.00","3","8434","146.3","146.6","148.8","149.0","-1.2"
"15.000","493","142.9","0.03","0.04","-0.01","99.9","0.00","3","8316","144.9","145.9","146.9","146.9","1.3"
"16.000","533","142.5","-0.21","0.12","0.00","0.0","0.00","4","7028","144.5","144.4","144.3","144.8","0.7"
