"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Grand Valley Speedway",,,"Worksheet",""
"Vehicle","IMPREZA Sedan WRX STi spec C (Type-II) '04",,,"Vehicle Desc",""
"Driver","L. TANG",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","2023-04-04",,,"Origin Time","0.000","s"
"Log Time","1:16:25 PM",,,"Start Time","0.000","s"
"Sample Rate","60.000","Hz",,"End Time","194.983","s"
"Duration","194.983","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","6108","m"
"Beacon Markers","24.324 190.167 "


"Time","Distance","Vehicle Speed","G Force Long","G Force Lat","G Force Vert","Throttle Pos","Brake Press","Gear","Engine RPM","Wheel Speed FL","Wheel Speed FR","Wheel Speed RL","Wheel Speed RR","Steered Angle"
"s","m","km/h","G","G","G","%","bar","","rpm","km/h","km/h","km/h","km/h","deg"


"0.000","0","30.3","-0.01","53.76","-0.01","100.0","3.74","1","2016","33.0","33.0","33.1","33.1","2.1"
"0.017","0","30.9","-0.01","-60.16","-0.01","100.0","0.00","1","2680","33.8","33.8","34.9","34.9","2.3"
"0.033","0","31.3","-0.01","-137.09","-172.16","97.3","0.00","1","3177","34.0","34.0","34.3","34.3","3.6"
"0.050","0","31.8","-0.01","51.84","-279.44","97.4","0.75","1","3530","34.7","34.7","35.8","35.8","3.8"
"0.067","1","32.5","-0.01","-322.48","-159.02","99.9","0.00","1","3770","35.6","35.6","36.2","36.2","5.0"
"0.083","1","32.8","-0.01","-97.77","311.79","100.0","0.44","1","3944","36.4","36.4","36.6","36.6","3.7"
"0.100","1","33.5","-0.01","-9.75","162.27","98.3","0.00","1","4087","37.1","37.1","37.0","37.0","4.6"
"0.117","1","34.0","207.36","-0.94","81.79","98.4","0.20","1","4207","37.7","37.7","37.9","37.9","4.9"
"0.133","1","34.2","-242.08","-0.03","8.23","100.0","0.00","1","4306","38.3","38.3","38.2","38.2","4.5"
"0.150","2","34.9","106.00","0.10","0.91","100.0","0.00","1","4394","38.8","38.8","39.0","39.0","4.7"
"0.167","2","35.7","-317.83","0.11","0.18","98.9","0.00","1","4472","39.5","39.5","39.6","39.6","4.4"
"0.183","2","35.9","-228.75","0.10","0.08","99.1","0.00","1","4547","40.1","40.1","39.9","39.9","4.6"
"0.200","2","36.5","107.96","0.10","0.07","100.0","1.14","1","4618","40.7","40.7","40.8","40.8","5.1"
"0.217","2","37.1","10.68","0.10","0.07","100.0","1.11","1","4687","41.2","41.2","41.0","41.0","4.6"
"0.233","2","37.5","1.44","0.07","0.04","99.3","0.02","1","4752","41.6","41.6","41.7","41.7","5.0"
"0.250","3","38.1","0.63","0.07","0.04","99.5","0.00","1","4816","42.3","42.3","42.3","42.3","5.2"
"0.267","3","38.6","0.59","0.07","0.04","100.0","0.72","1","4881","42.9","42.9","42.5","42.5","5.6"
